Timeslot,GridUsage,SolarUsage,SolarBatteryUsage
1,9.29795,1,0.779297
2,1,1,0
3,1,1,0
4,1,1.7793,0
5,1,2,0.346625
6,1,1.7793,0
7,1,2.34662,0
8,1,2.34662,0
9,1,2.34662,0
10,1,3.13839,0
11,1,4,0.192
12,1,5,2.23438
13,1,5,0.544859
14,1,4.192,0
15,1,7,0.234375
16,1,8,1.29795
17,1,9.29795,0
18,1,9.29795,0
19,1.04988,13,1.69692
20,1,11.773,0
21,1,14.6969,0
22,1,14.6969,0
23,1,14.6969,0
24,1,18.1071,0
25,1,7.23438,0
26,1,5.54486,0
27,1,4.192,0
28,1,9.29795,0
29,1,5.54486,0
30,1,7.23438,0
31,1,22.041,0
32,1,31.6295,0
33,1,31.6295,0
34,1,43.7616,0
35,1,47,3.875
36,1,49,1.875
37,1,52,6.73655
38,1,50.875,0
39,1,37.3589,0
40,1,37.3589,0
41,1,26.536,0
42,1,26.536,0
43,1,37.3589,0
44,1,31.6295,0
45,1,37.3589,0
46,1,37.3589,0
47,1,43.7616,0
48,1,37.3589,0
49,1,22.041,0
50,1,18.1071,0
51,1,22.041,0
52,1,26.536,0
53,1,37.3589,0
54,1,11.773,0
55,1,31.6295,0
56,1,7.23438,0
57,1,5.54486,0
58,1,11.773,0
59,1,26.536,0
60,1,18.1071,0
61,1,43.7616,0
62,1,11.773,0
63,1,31.6295,0
64,1,37.3589,0
65,1,31.6295,0
66,1,43.7616,0
67,1,37.3589,0
68,1,11.773,0
69,1,9.29795,0
70,1,9.29795,0
71,1,18.1071,0
72,1,11.773,0
73,1,26.536,0
74,1,9.29795,0
75,1,26.536,0
76,1,14.6969,0
77,1,11.773,0
78,1,9.29795,0
79,1,26.536,0
80,1,14.6969,0
81,1,4.192,0
82,1,26.536,0
83,1,4.192,0
84,1,11.773,0
85,1,9.29795,0
86,1,5.54486,0
87,1,14.6969,0
88,1,7.23438,0
89,1,7.23438,0
90,1,67.3836,0
91,1,37.3589,0
92,1,37.3589,0
93,1,50.875,0
94,1,22.041,0
95,1,22.041,0
96,1,26.536,0
97,1,18.1071,0
98,1,37.3589,0
99,1,26.536,0
100,1,18.1071,0
101,1,31.6295,0
102,1,11.773,0
103,1,22.041,0
104,1,18.1071,0
105,1,18.1071,0
106,1,14.6969,0
107,1,18.1071,0
108,1,26.536,0
109,1,22.041,0
110,1,43.7616,0
111,1,31.6295,0
112,1,7.23438,0
113,1,9.29795,0
114,1,9.29795,0
115,1,9.29795,0
116,1,9.29795,0
117,1,22.041,0
118,1,7.23438,0
119,1,26.536,0
120,1,67.3836,0
121,1,37.3589,0
122,1,67.3836,0
123,1,31.6295,0
124,1,37.3589,0
125,1,58.7365,0
126,1,7.23438,0
127,1,9.29795,0
128,1,22.041,0
129,1,18.1071,0
130,1,7.23438,0
131,1,9.29795,0
132,1,14.6969,0
133,1,11.773,0
134,1,11.773,0
135,1,14.6969,0
136,1,9.29795,0
137,1,11.773,0
138,1,7.23438,0
139,1,9.29795,0
140,1,18.1071,0
141,1,5.54486,0
142,1,9.29795,0
143,1,11.773,0
144,1,7.23438,0
145,1,7.23438,0
146,1,26.536,0
147,1,11.773,0
148,1,31.6295,0
149,1,37.3589,0
150,1,22.041,0
151,1,26.536,0
152,1,18.1071,0
153,1,37.3589,0
154,1,18.1071,0
155,1,26.536,0
156,1,31.6295,0
157,1,26.536,0
158,1,26.536,0
159,1,22.041,0
160,1,31.6295,0
161,1,26.536,0
162,1,22.041,0
163,1,26.536,0
164,1,26.536,0
165,1,37.3589,0
166,1,26.536,0
167,1,9.29795,0
168,1,31.6295,0
169,1,18.1071,0
170,1,14.6969,0
