Hour,GridGreedy_Power,GridGreedy_Cost,GridOptimal_Power,GridOptimal_Cost,SolarSDC_Power,SolarSDC_Cost
1,49.1333,0.00398611,49.1333,0.00398611,49.1333,0.00398611
2,31.3716,0.0110997,31.3716,0.0110997,31.3716,0.0110997
3,30,0.0182667,30,0.0182667,30,0.0182667
4,30,0.00853333,30,0.00853333,30,0.00853333
5,30,0.005,30,0.005,30,0.005
6,30,0.005,30,0.005,30,0.005
7,30,0.005,30,0.005,30,0.005
8,30,0.005,30,0.005,30,0.005
9,30,0.005,30,0.005,30,0.005
10,30,0.005,30,0.005,30,0.005
11,30,0.005,30,0.005,30,0.005
12,30,0.00747231,30,0.00747231,30,0.00747231
13,30,0.0103869,30,0.0103869,30,0.0103869
14,30,0.0104862,30,0.0104862,30,0.0104862
15,30,0.0113403,30,0.0113403,30,0.0113403
16,30,0.0120103,30,0.0120103,30,0.0120103
17,30,0.0119428,30,0.0119428,30,0.0119428
18,30,0.0113003,30,0.0113003,30,0.0113003
19,30,0.00976442,30,0.00976442,30,0.00976442
20,30.1683,0.00816109,30.1683,0.00816109,30.1683,0.00816109
21,1635.22,0.44125,1635.22,0.44125,1635.22,0.44125
22,1400.91,0.3893,1400.91,0.3893,1400.91,0.3893
23,1258.22,0.349647,1258.22,0.349647,1258.22,0.349647
24,73.1793,0.0203358,73.1793,0.0203358,73.1793,0.0203358
