timestamp,Solar Power
1,1
2,1
3,1
4,2
5,2
6,2
7,3
8,3
9,3
10,4
11,4
12,5
13,5
14,5
15,7
16,8
17,10
18,11
19,13
20,14
21,16
22,17
23,18
24,20
25,21
26,23
27,24
28,26
29,27
30,30
31,33
32,36
33,39
34,42
35,45
36,48
37,51
38,54
39,57
40,60
41,63
42,66
43,69
44,72
45,73
46,74
47,75
48,77
49,78
50,79
51,80
52,81
53,82
54,83
55,84
56,85
57,87
58,88
59,89
60,94
61,100
62,105
63,110
64,116
65,121
66,127
67,132
68,137
69,143
70,148
71,154
72,159
73,165
74,170
75,174
76,177
77,181
78,184
79,188
80,191
81,195
82,198
83,202
84,206
85,209
86,213
87,216
88,220
89,223
90,227
91,231
92,234
93,238
94,242
95,246
96,249
97,253
98,257
99,260
100,264
101,268
102,271
103,275
104,279
105,279
106,280
107,280
108,281
109,281
110,282
111,282
112,282
113,283
114,283
115,284
116,284
117,285
118,285
119,286
120,279
121,272
122,265
123,258
124,252
125,245
126,238
127,231
128,224
129,218
130,211
131,204
132,197
133,190
134,183
135,198
136,212
137,227
138,241
139,256
140,270
141,285
142,299
143,313
144,328
145,342
146,357
147,371
148,386
149,400
150,398
151,397
152,395
153,393
154,391
155,390
156,388
157,386
158,384
159,383
160,381
161,379
162,377
163,376
164,374
165,368
166,361
167,355
168,348
169,342
170,336
171,329
172,323
173,317
174,310
175,304
176,298
177,291
178,285
179,279
180,280
181,281
182,283
183,284
184,285
185,286
186,288
187,289
188,290
189,291
190,293
191,294
192,295
193,296
194,298
195,301
196,303
197,306
198,309
199,312
200,315
201,317
202,320
203,323
204,326
205,328
206,331
207,334
208,337
209,340
210,340
211,340
212,340
213,340
214,340
215,340
216,340
217,340
218,340
219,340
220,340
221,341
222,341
223,341
224,341
225,338
226,336
227,333
228,331
229,328
230,326
231,323
232,321
233,318
234,316
235,314
236,311
237,309
238,306
239,304
240,297
241,289
242,282
243,275
244,268
245,261
246,254
247,247
248,240
249,233
250,225
251,218
252,211
253,204
254,197
255,203
256,208
257,214
258,220
259,225
260,231
261,236
262,242
263,248
264,253
265,259
266,265
267,270
268,276
269,281
270,280
271,279
272,278
273,278
274,277
275,276
276,275
277,274
278,273
279,272
280,271
281,270
282,269
283,268
284,267
285,267
286,268
287,268
288,268
289,269
290,269
291,270
292,270
293,270
294,271
295,271
296,272
297,272
298,272
299,273
300,268
301,264
302,260
303,255
304,251
305,247
306,242
307,238
308,233
309,229
310,225
311,220
312,216
313,212
314,207
315,205
316,202
317,199
318,196
319,194
320,191
321,188
322,185
323,183
324,180
325,177
326,174
327,172
328,169
329,166
330,162
331,158
332,154
333,150
334,146
335,141
336,137
337,133
338,129
339,125
340,121
341,117
342,112
343,108
344,104
345,102
346,99
347,97
348,94
349,92
350,90
351,87
352,85
353,82
354,80
355,78
356,75
357,73
358,70
359,68
360,65
361,63
362,60
363,57
364,54
365,52
366,49
367,46
368,44
369,41
370,38
371,36
372,33
373,30
374,28
375,26
376,24
377,23
378,21
379,19
380,18
381,16
382,14
383,13
384,11
385,10
386,8
387,6
388,5
389,3
390,3
391,3
392,2
393,2
394,2
395,2
396,2
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
