timestamp,Solar Power
1,1
2,1
3,1
4,2
5,2
6,2
7,3
8,3
9,3
10,4
11,4
12,5
13,5
14,5
15,8
16,8
17,11
18,12
19,14
20,15
21,17
22,18
23,21
24,23
25,24
26,26
27,27
28,29
29,29
30,32
31,36
32,42
33,44
34,47
35,50
36,52
37,54
38,57
39,60
40,63
41,66
42,73
43,76
44,78
45,80
46,81
47,82
48,83
49,84
50,84
51,84
52,84
53,89
54,90
55,91
56,92
57,94
58,94
59,94
60,98
61,105
62,110
63,115
64,125
65,130
66,136
67,141
68,145
69,149
70,154
71,158
72,162
73,183
74,186
75,187
76,188
77,190
78,193
79,197
80,207
81,211
82,213
83,221
84,222
85,222
86,223
87,231
88,233
89,234
90,237
91,238
92,248
93,251
94,254
95,255
96,259
97,262
98,262
99,263
100,301
101,306
102,308
103,308
104,319
105,319
106,317
107,314
108,311
109,306
110,317
111,313
112,309
113,307
114,305
115,302
116,315
117,316
118,315
119,313
120,304
121,294
122,286
123,274
124,267
125,255
126,247
127,238
128,228
129,220
130,217
131,207
132,222
133,214
134,202
135,219
136,230
137,259
138,272
139,288
140,298
141,313
142,326
143,356
144,369
145,382
146,393
147,400
148,400
149,400
150,400
151,400
152,400
153,400
154,400
155,400
156,400
157,400
158,400
159,400
160,400
161,400
162,400
163,400
164,400
165,399
166,388
167,391
168,383
169,372
170,383
171,369
172,360
173,348
174,352
175,339
176,326
177,316
178,328
179,321
180,320
181,321
182,323
183,321
184,318
185,317
186,319
187,316
188,312
189,313
190,312
191,334
192,329
193,325
194,328
195,326
196,324
197,327
198,345
199,343
200,342
201,344
202,367
203,366
204,363
205,358
206,356
207,355
208,358
209,356
210,355
211,360
212,359
213,355
214,371
215,371
216,370
217,365
218,359
219,385
220,380
221,377
222,374
223,372
224,390
225,380
226,380
227,369
228,365
229,359
230,351
231,344
232,339
233,364
234,359
235,357
236,352
237,346
238,342
239,333
240,321
241,319
242,310
243,299
244,289
245,280
246,282
247,274
248,262
249,252
250,242
251,234
252,235
253,225
254,215
255,218
256,223
257,235
258,238
259,239
260,245
261,247
262,266
263,269
264,271
265,293
266,295
267,295
268,298
269,299
270,293
271,288
272,284
273,281
274,285
275,291
276,288
277,285
278,283
279,303
280,302
281,295
282,290
283,286
284,282
285,281
286,280
287,276
288,274
289,275
290,272
291,298
292,292
293,305
294,301
295,301
296,306
297,312
298,312
299,311
300,303
301,298
302,288
303,280
304,275
305,274
306,266
307,259
308,252
309,245
310,238
311,232
312,226
313,220
314,213
315,210
316,205
317,202
318,207
319,203
320,218
321,213
322,209
323,204
324,199
325,196
326,192
327,190
328,185
329,181
330,174
331,170
332,164
333,159
334,162
335,154
336,149
337,142
338,138
339,132
340,137
341,130
342,128
343,123
344,117
345,115
346,111
347,110
348,106
349,102
350,99
351,95
352,91
353,88
354,86
355,83
356,79
357,79
358,76
359,74
360,70
361,72
362,67
363,63
364,58
365,56
366,52
367,50
368,47
369,44
370,43
371,40
372,36
373,33
374,31
375,28
376,25
377,26
378,24
379,21
380,20
381,18
382,16
383,15
384,12
385,11
386,9
387,7
388,5
389,3
390,3
391,3
392,2
393,2
394,2
395,2
396,2
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
